duplicateBy,fileName,casNumber,productName,dbId
casNumber,"1,1,2-三氯-1,2,2-三氟乙烷、1，l，2- Trifluorotrichloroethane-113、76-13-1.xml",76-13-1,"1,1,2-三氯-1,2,2-三氟乙烷",3036
casNumber,"1,1,3,3-四氯丙酮、1,1,3,3-tetrachloroacetone、632-21-3.xml",632-21-3,"1,1,3,3-四氯丙酮",3040
casNumber,"1,1,3,3-四甲基-1-丁硫醇、1,1,3,3-tetramethyl-1-butyl sulfhydrate、141-59-3.xml",141-59-3,"1,1,3,3-四甲基-1-丁硫醇",3037
casNumber,"1,1,3,3-四甲基丁基氢过氧化物[含量≤100%]、1,1,3,3-tetramethylbutyl hydroperoxide (not more than 100%)、5809-08-5.xml",5809-08-5,"1,1,3,3-四甲基丁基氢过氧化物[含量≤100%]",3039
casNumber,"1,1,3,3-四甲基丁基过氧新癸酸酯[含量≤52%,在水中稳定弥散]、1,1,3,3-tetramethylbutyl peroxyneodecanoate (not more than 52% as a stable dispersion in water)、51240-95-0.xml",51240-95-0,"1,1,3,3-四甲基丁基过氧新癸酸酯[含量≤52%,在水中稳定弥散]",3038
casNumber,"1,1,3-三乙氧基己烷、1,1,3-Triethoxyhexane、101-33-7.xml",101-33-7,"1,1,3-三乙氧基己烷",3041
casNumber,"1,1-二(2-甲氧基乙氧基)乙烷、1,1-Di(2-methoxy ethoxy) ethane、10143-67-6.xml",10143-67-6,"1,1-二(2-甲氧基乙氧基)乙烷",3042
casNumber,"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[含量≤57%,含A型稀释剂≥43%]、1,1-di-(tert-butylperoxy)-3,3,5-trimethylcyclohexane (not more than 57%,and diluent type A not less than 43%)、6731-36-8.xml",6731-36-8,"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[含量≤57%,含A型稀释剂≥43%]",3043
casNumber,"1,1-二-(叔丁基过氧)环己烷[含量≤13%, 含A型稀释剂≥13%,含B型稀释剂≥74%]、1,1-di-(tert-butylperoxy)cyclohexane (not more than 13%, and diluent type A not less than 13%,and diluent type B not less than 74%)、3006-86-8.xml",3006-86-8,"1,1-二-(叔丁基过氧)环己烷[含量≤13%, 含A型稀释剂≥13%,含B型稀释剂≥74%]",3044
casNumber,"1,1-二氟乙烯、1,1-difluoroethylene、75-38-7.xml",75-38-7,"1,1-二氟乙烯",3046
casNumber,"1,1-二氯-1-硝基乙烷、1,1-Dichloro-1-nitroethane、594-72-9.xml",594-72-9,"1,1-二氯-1-硝基乙烷",3051
casNumber,"1,1-二氯-2,2-双(4-氯苯基)乙烷、1,1-Dichloro-2,2-bis(4-chlorophenyl)ethane、72-54-8.xml",72-54-8,"1,1-二氯-2,2-双(4-氯苯基)乙烷",3052
casNumber,"1,1-二氯丙酮、1,1-dichloroacetone、513-88-2.xml",513-88-2,"1,1-二氯丙酮",3053
casNumber,"1,1-二氯乙烯、1,1-dichloroethylene、75-35-4.xml",75-35-4,"1,1-二氯乙烯",3055
casNumber,"1,1-二氯乙烷、1,1-dichloroethane、75-34-3.xml",75-34-3,"1,1-二氯乙烷",3054
casNumber,"1,1-二甲基环己烷、1,1-dimethyl cyclohexane、590-66-9.xml",590-66-9,"1,1-二甲基环己烷",3047
casNumber,"1,1-二甲基环戊烷、1,1-dimethyl cyclopentane、1638-26-2.xml",1638-26-2,"1,1-二甲基环戊烷",3048
casNumber,"1,1-二甲基肼、1,1-dimethyl hydrazine、57-14-7.xml",57-14-7,"1,1-二甲基肼",3049
casNumber,"1,1-二甲氧基乙烷、1，1-Dimethoxyethane、534-15-6.xml",534-15-6,"1,1-二甲氧基乙烷",3050
casNumber,"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4 ：5,8-桥,挂-二甲撑萘[ 含量＞75%]、Aldrin、309-00-2.xml",309-00-2,"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4 ：5,8-桥,挂-二甲撑萘[ 含量＞75%]",3058
casNumber,"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4-挂-5,8-挂二亚甲基萘、(1α,4α,4aβ,5β,8β,8aβ)-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,45,8-dimethanonaphfthalenee(more than 10%)、465-73-6.xml",465-73-6,"1,2,3,4,10,10-六氯-1,4,4a,5,8,8a-六氢-1,4-挂-5,8-挂二亚甲基萘",3059
casNumber,"1,2,3,4,5,6-六氯环己烷、Hexachlorocyclohexane、608-73-1.xml",608-73-1,"1,2,3,4,5,6-六氯环己烷",3057
casNumber,"1,2,3,4-四氯代苯、1,2,3,4-tetrachlorobenzene、634-66-2.xml",634-66-2,"1,2,3,4-四氯代苯",3060
casNumber,"1,2,3,4-四氯化萘、1,2,3,4-Tetrachloronaphthalene、1335-88-2.xml",1335-88-2,"1,2,3,4-四氯化萘",3061
casNumber,"1,2,3,5-四氯代苯、1,2,3,5-tetrachlorobenzene、634-90-2.xml",634-90-2,"1,2,3,5-四氯代苯",3062
casNumber,"1,2,3,6-四氢化苯甲醛、1,2,3,6-Tetrahydrobenzaldehyde、100-50-5.xml",100-50-5,"1,2,3,6-四氢化苯甲醛",3063
casNumber,"1,2,3-三氯丙烷、1,2,3-trichloropropane、96-18-4.xml",96-18-4,"1,2,3-三氯丙烷",3065
casNumber,"1,2,3-三氯代苯、1,2,3-Trichlorobenzene、87-61-6.xml",87-61-6,"1,2,3-三氯代苯",3066
casNumber,"1,2,3-三甲基苯、1,2,3-trimethylbenzene、526-73-8.xml",526-73-8,"1,2,3-三甲基苯",3064
casNumber,"1,2,4,5,6,7,8,8-八氯-2,3,3a,4,7,7a-六氢-4,7-亚甲基茚、1,2,4,5,6,7,8,8-octachloro-3a,4,7,7a-tetrahydro-4,7-methanoindan、57-74-9.xml",57-74-9,"1,2,4,5,6,7,8,8-八氯-2,3,3a,4,7,7a-六氢-4,7-亚甲基茚",3067
casNumber,"1,2,4,5-四氯代苯、1,2,4,5-tetrachlorobenzene、95-94-3.xml",95-94-3,"1,2,4,5-四氯代苯",3069
casNumber,"1,2,4,5-四甲苯、1,2,4,5-Tetramethylbenzene、95-93-2.xml",95-93-2,"1,2,4,5-四甲苯",3068
casNumber,"1,2,4-三氯代苯、1,2,4-trichlorobenzene、120-82-1.xml",120-82-1,"1,2,4-三氯代苯",3071
casNumber,"1,2,4-三甲基苯、1,2,4-trimethylbenzene、95-63-6.xml",95-63-6,"1,2,4-三甲基苯",3070
casNumber,"1,2,6-己三醇、1,2,6-Hexanetriol、106-69-4.xml",106-69-4,"1,2,6-己三醇",3072
casNumber,"1,2-O-[(1R)-2,2,2-三氯亚乙基]-α-D-呋喃葡糖、(R)-1,2-O-(2,2,2-trichloroethylidene)-α-D-glucofuranose、15879-93-3.xml",15879-93-3,"1,2-O-[(1R)-2,2,2-三氯亚乙基]-α-D-呋喃葡糖",3073
casNumber,"1,2-丙二胺、1,2-propanediamine、78-90-0.xml",78-90-0,"1,2-丙二胺",3076
casNumber,"1,2-乙二胺、1,2-ethylenediamine、107-15-3.xml",107-15-3,"1,2-乙二胺",3100
casNumber,"1,2-二乙基苯、1,2-diethylbenzene、135-01-3.xml",135-01-3,"1,2-二乙基苯",3094
casNumber,"1,2-二氟苯、1,2-difluorobenzene、367-11-3.xml",367-11-3,"1,2-二氟苯",3079
casNumber,"1,2-二氯丙烯、1,2-dichloropropene、563-54-2.xml",563-54-2,"1,2-二氯丙烯",3086
casNumber,"1,2-二氯丙烷、1,2-Dichloropropane、78-87-5.xml",78-87-5,"1,2-二氯丙烷",3085
casNumber,"1,2-二氯乙烯、1,2-dichloroethylene、540-59-0.xml",540-59-0,"1,2-二氯乙烯",3088
casNumber,"1,2-二氯二乙醚、1,2-dichlorodiethyl ether、623-46-1.xml",623-46-1,"1,2-二氯二乙醚",3087
casNumber,"1,2-二氯苯、1,2-dichlorobenzene、95-50-1.xml",95-50-1,"1,2-二氯苯",3084
casNumber,"1,2-二溴-3-丁酮、1，2-Dibromo-3-butanone、25109-57-3.xml",25109-57-3,"1,2-二溴-3-丁酮",3090
casNumber,"1,2-二溴丙烷、1,2-dibromopropane、78-75-1.xml",78-75-1,"1,2-二溴丙烷",3092
casNumber,"1,2-二溴乙烷、1,2-dibromoethane、106-93-4.xml",106-93-4,"1,2-二溴乙烷",3093
casNumber,"1,2-二溴苯、1,2-dibromobenzene、583-53-9.xml",583-53-9,"1,2-二溴苯",3091
casNumber,"1,2-二甲基环己烷、1,2-Dimethyl cyclohexane、583-57-3.xml",583-57-3,"1,2-二甲基环己烷",3081
casNumber,"1,2-二甲基环戊烷、1,2-dimethylcyclopentane、2452-99-5.xml",2452-99-5,"1,2-二甲基环戊烷",3082
casNumber,"1,2-二甲氧基乙烷、1,2-dimethoxyethane、110-71-4.xml",110-71-4,"1,2-二甲氧基乙烷",3083
casNumber,"1,2-二甲苯、1,2-xylene、95-47-6.xml",95-47-6,"1,2-二甲苯",3080
casNumber,"1,2-二硝基苯、1,2-dinitrobenzene、528-29-0.xml",528-29-0,"1,2-二硝基苯",3089
casNumber,"1,2-二苯乙烷、1,2-Diphenylethane、103-29-7.xml",103-29-7,"1,2-二苯乙烷",3078
casNumber,"1,2-二苯肼、1,2-diphenylhydrazine、122-66-7.xml",122-66-7,"1,2-二苯肼",3077
casNumber,"1,2-亚乙基双二硫代氨基甲酸二钠、Dithane D-14、142-59-6.xml",142-59-6,"1,2-亚乙基双二硫代氨基甲酸二钠",3099
casNumber,"1,2-亚乙基双二硫代氨基甲酸铵、Dithane staneless、3566-10-7.xml",3566-10-7,"1,2-亚乙基双二硫代氨基甲酸铵",3098
casNumber,"1,2-环氧-3-乙氧基丙烷、1,2-epoxy-3-ethoxypropane、4016-11-9.xml",4016-11-9,"1,2-环氧-3-乙氧基丙烷",3095
casNumber,"1,2-环氧丁烷、1,2-epoxybutane、106-88-7.xml",106-88-7,"1,2-环氧丁烷",3097
casNumber,"1,2-环氧丙烷、1,2-epoxypropane、75-56-9.xml",75-56-9,"1,2-环氧丙烷",3096
casNumber,"1,2-苯二胺、1,2-diaminobenzene、95-54-5.xml",95-54-5,"1,2-苯二胺",3074
casNumber,"1,2-苯二酚、1,2-benzenediol、120-80-9.xml",120-80-9,"1,2-苯二酚",3075
casNumber,"1,3,3-三乙氧基丙烷、1,3,3-triethoxypropane、7789-92-6.xml",7789-92-6,"1,3,3-三乙氧基丙烷",3101
casNumber,"1,3,4,5,6,7,8,8-八氯-1,3,3a,4,7,7a-六氢-4,7-甲撑异苯并呋喃[含量＞1%]、1,3,4,5,6,7,8,8-octachloro-1,3,3a,4,7,7a-hexahydro-4,7-methanoisobenzofuran(more than 1%)、297-78-9.xml",297-78-9,"1,3,4,5,6,7,8,8-八氯-1,3,3a,4,7,7a-六氢-4,7-甲撑异苯并呋喃[含量＞1%]",3102
casNumber,"1,3,5,7-环辛四烯、1,3,5,7-cyclooctatetraene、629-20-9.xml",629-20-9,"1,3,5,7-环辛四烯",3103
casNumber,"1,3,5-三氯代苯、1,3,5-trichlorobenzene、108-70-3.xml",108-70-3,"1,3,5-三氯代苯",3106
casNumber,"1,3,5-三甲基苯、1,3,5-Trimethylbenzene、108-67-8.xml",108-67-8,"1,3,5-三甲基苯",3105
casNumber,"1,3,5-环庚三烯、1,3,5-Cycioheptatriene、544-25-2.xml",544-25-2,"1,3,5-环庚三烯",3104
casNumber,"1,3-丁二烯[稳定的]、1,3-butadiene、106-99-0.xml",106-99-0,"1,3-丁二烯[稳定的]",3111
casNumber,"1,3-丙二醇、1,3-Propanediol、504-63-2.xml",504-63-2,"1,3-丙二醇",3110
casNumber,"1,3-二乙基硫脲、1,3-Diethylthiourea、105-55-5.xml",105-55-5,"1,3-二乙基硫脲",3131
casNumber,"1,3-二乙基苯、1,3-diethylbenzene、141-93-5.xml",141-93-5,"1,3-二乙基苯",3130
casNumber,"1,3-二氟-2-丙醇、1,3-difluoro-2-propanol、453-13-4.xml",453-13-4,"1,3-二氟-2-丙醇",3112
casNumber,"1,3-二氟丙-2-醇(Ⅰ)与1-氯-3-氟丙-2-醇(Ⅱ)的混合物、1,3-difluoro-propan-2-ol(Ⅰ)and 1-chloro-3-fluoro-propan-2-ool(Ⅱ)mixture、8065-71-2.xml",8065-71-2,"1,3-二氟丙-2-醇(Ⅰ)与1-氯-3-氟丙-2-醇(Ⅱ)的混合物",3114
casNumber,"1,3-二氟苯、1,3-difluorobenzene、372-18-9.xml",372-18-9,"1,3-二氟苯",3113
casNumber,"1,3-二氧戊环、1,3-dioxolane、646-06-0.xml",646-06-0,"1,3-二氧戊环",3129
casNumber,"1,3-二氯-2-丁烯、1,3-Dichloro-2-butene、926-57-8.xml",926-57-8,"1,3-二氯-2-丁烯",3122
casNumber,"1,3-二氯-2-丙醇、1,3-Dichloro-2-propanol、96-23-1.xml",96-23-1,"1,3-二氯-2-丙醇",3121
casNumber,"1,3-二氯丙烯、1,3-dichloropropene、542-75-6.xml",542-75-6,"1,3-二氯丙烯",3126
casNumber,"1,3-二氯丙烷、1,3-dichloropropane、142-28-9.xml",142-28-9,"1,3-二氯丙烷",3125
casNumber,"1,3-二氯丙酮、1,3-dichloroacetone、534-07-6.xml",534-07-6,"1,3-二氯丙酮",3124
casNumber,"1,3-二氯苯、1,3-dichlorobenzene、541-73-1.xml",541-73-1,"1,3-二氯苯",3123
casNumber,"1,3-二甲基丁胺、1,3-dimethylbutylamine、108-09-8.xml",108-09-8,"1,3-二甲基丁胺",3117
casNumber,"1,3-二甲基环戊烷、1,3-dimethyl cyclopentane、2453-00-1.xml",2453-00-1,"1,3-二甲基环戊烷",3119
casNumber,"1,3-二甲氧基丁烷、1,3-Dimethoxybutane、10143-66-5.xml",10143-66-5,"1,3-二甲氧基丁烷",3120
casNumber,"1,3-二甲苯、1,3-xylene、108-38-3.xml",108-38-3,"1,3-二甲苯",3116
casNumber,"1,3-二硝基丙烷、1,3-dinitropropane、6125-21-9.xml",6125-21-9,"1,3-二硝基丙烷",3128
casNumber,"1,3-二硝基苯、1,3-dinitrobenzene、99-65-0.xml",99-65-0,"1,3-二硝基苯",3127
casNumber,"1,3-二磺酰肼苯、Benzene-1,3-disulphohydrazide、26747-93-3.xml",26747-93-3,"1,3-二磺酰肼苯",3115
casNumber,"1,3-己二烯、1,3-hexadiene、592-48-3.xml",592-48-3,"1,3-己二烯",3135
casNumber,"1,3-戊二烯[稳定的]、1,3-pentadiene、504-60-9.xml",504-60-9,"1,3-戊二烯[稳定的]",3136
casNumber,"1,3-环己二烯、1,3-cyclohexadiene、592-57-4.xml",592-57-4,"1,3-环己二烯",3132
casNumber,"1,3-环戊二烯、1,3-cyclopentadiene、542-92-7.xml",542-92-7,"1,3-环戊二烯",3133
casNumber,"1,3-环辛二烯、1,3-cyclooctadiene、3806-59-5.xml",3806-59-5,"1,3-环辛二烯",3134
casNumber,"1,3-苯二磺酸溶液、benzene-1,3-disulfonic acid,solution、98-48-6.xml",98-48-6,"1,3-苯二磺酸溶液",3109
casNumber,"1,3-苯二胺、1,3-phenylene diamine、108-45-2.xml",108-45-2,"1,3-苯二胺",3107
casNumber,"1,3-苯二酚、1,3-benzenediol、108-46-3.xml",108-46-3,"1,3-苯二酚",3108
casNumber,"1,4,5,6,7,8,8-七氯-3a,4,7,7a-四氢-4,7-亚甲基茚、1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene、76-44-8.xml",76-44-8,"1,4,5,6,7,8,8-七氯-3a,4,7,7a-四氢-4,7-亚甲基茚",3137
casNumber,"1,4-丁二胺、1,4-butanediamine、110-60-1.xml",110-60-1,"1,4-丁二胺",3140
casNumber,"1,4-二乙基苯、1,4-diethylbenzene、105-05-5.xml",105-05-5,"1,4-二乙基苯",3151
casNumber,"1,4-二氟苯、1,4-difluorobenzene、540-36-3.xml",540-36-3,"1,4-二氟苯",3141
casNumber,"1,4-二氧杂环己烷、1,4-dioxane、123-91-1.xml",123-91-1,"1,4-二氧杂环己烷",3150
casNumber,"1,4-二氯-2-丁烯、1,4-Dichloro-2-butene、764-41-0.xml",764-41-0,"1,4-二氯-2-丁烯",3145
casNumber,"1,4-二氯丁烷、1,4-dichlorobutane、110-56-5.xml",110-56-5,"1,4-二氯丁烷",3147
casNumber,"1,4-二氯苯、1,4-dichlorobenzene、106-46-7.xml",106-46-7,"1,4-二氯苯",3146
casNumber,"1,4-二甲基哌嗪、1,4-Dimethyl piperazine、106-58-1.xml",106-58-1,"1,4-二甲基哌嗪",3144
casNumber,"1,4-二甲基环己烷、1,4-Dimethyl cyclohexane、589-90-2.xml",589-90-2,"1,4-二甲基环己烷",3143
casNumber,"1,4-二甲苯、1,4-xylene、106-42-3.xml",106-42-3,"1,4-二甲苯",3142
casNumber,"1,4-二羟基-2-丁炔、2-butyne-1,4-diol、110-65-6.xml",110-65-6,"1,4-二羟基-2-丁炔",3148
casNumber,"1,4-己二烯、1,4-hexadiene、592-45-0.xml",592-45-0,"1,4-己二烯",3153
casNumber,"1,4-戊二烯[稳定的]、1,4-pentadiene,stabilized、591-93-5.xml",591-93-5,"1,4-戊二烯[稳定的]",3154
casNumber,"1,4-环己二烯、1,4-cyclohexadiene、628-41-1.xml",628-41-1,"1,4-环己二烯",3152
casNumber,"1,4-苯二胺、1,4-diaminobenzene、106-50-3.xml",106-50-3,"1,4-苯二胺",3138
casNumber,"1,4-苯二酚、1,4-dihydroxybenzene、123-31-9.xml",123-31-9,"1,4-苯二酚",3139
casNumber,"1,4二硝基苯、1,4-dinitrobenzene、100-25-4.xml",100-25-4,"1,4二硝基苯",3149
casNumber,"1,5-二氯戊烷、1,5-dichloropentane、628-76-2.xml",628-76-2,"1,5-二氯戊烷",3155
casNumber,"1,5-二硝基萘、1,5-Dinitronaphthalene、605-71-0.xml",605-71-0,"1,5-二硝基萘",3157
casNumber,"1,5-二羟基-4,8-二硝基蒽醌、1,5-dihydroxy-4,8-dinitroanthraquinone、128-91-6.xml",128-91-6,"1,5-二羟基-4,8-二硝基蒽醌",3156
casNumber,"1,5-己二烯、1,5-hexadiene、592-42-7.xml",592-42-7,"1,5-己二烯",3159
casNumber,"1,5-戊二胺、1,5-pentanediamine、462-94-2.xml",462-94-2,"1,5-戊二胺",3160
casNumber,"1,5-戊二醇、1,5-Pentadiol、111-29-5.xml",111-29-5,"1,5-戊二醇",3161
casNumber,"1,5-环辛二烯、1,5-cyclooctadiene、111-78-4.xml",111-78-4,"1,5-环辛二烯",3158
casNumber,"1,6-二-(过氧化叔丁基-羰基氧)己烷[含量≤72%,含A型稀释剂≥28%]、1,6-di-(tert-butylperoxycarbonyloxy) hexane (not more than 72%, and diluent type A not less than 28%)、36536-42-2.xml",36536-42-2,"1,6-二-(过氧化叔丁基-羰基氧)己烷[含量≤72%,含A型稀释剂≥28%]",3162
casNumber,"1,6-己二胺、1,6-hexylenediamine、124-09-4.xml",124-09-4,"1,6-己二胺",3163
casNumber,"1,8-二硝基萘、1,8-dinitronaphthalene、602-38-0.xml",602-38-0,"1,8-二硝基萘",3164
casNumber,"1,8-环氧对孟烷、1,8-epoxy-menthane、470-82-6.xml",470-82-6,"1,8-环氧对孟烷",3165
casNumber,"1,8-萘二甲酸酐、1,8-Naphthalic anhydride、81-84-5.xml",81-84-5,"1,8-萘二甲酸酐",3166
casNumber,"1-(2-叔丁基过氧异丙基)-3-异丙烯基苯[含量≤42%,惰性固体含量≥58%]、1-(2-tert-butylperoxyisopropyl)-3-isopropeny benzene(notmorethan42%,andinertsolidnotlessthan58%)、96319-55-0.xml",96319-55-0,"1-(2-叔丁基过氧异丙基)-3-异丙烯基苯[含量≤42%,惰性固体含量≥58%]",3030
casNumber,"1-(2-过氧化乙基己醇-1,3-二甲基丁基过氧化新戊酸酯[含量≤52%,含A型稀释剂≥45%,含B型稀释剂≥10%]、228415-62-1.xml",228415-62-1,"1-(2-过氧化乙基己醇-1,3-二甲基丁基过氧化新戊酸酯[含量≤52%,含A型稀释剂≥45%,含B型稀释剂≥10%]",3029
casNumber,1-丁炔-3-醇、1-butyn-3-ol、2028-63-9.xml,2028-63-9,1-丁炔-3-醇,3176
casNumber,"1-丁炔[稳定的]、1-butyne,stabilized、107-00-6.xml",107-00-6,1-丁炔[稳定的],3175
casNumber,1-丁烯、1-butylene、106-98-9.xml,106-98-9,1-丁烯,3177
casNumber,1-丙醇、1-propyl alcohol、71-23-8.xml,71-23-8,1-丙醇,3170
casNumber,1-乙基丁醇、1-Ethylbutanol、623-37-0.xml,623-37-0,1-乙基丁醇,3227
casNumber,1-二乙基氨基-4-氨基戊烷、1-diethylamino-4-aminopentane、140-80-7.xml,140-80-7,1-二乙基氨基-4-氨基戊烷,3178
casNumber,1-壬烯、1-nonene、124-11-8.xml,124-11-8,1-壬烯,3211
casNumber,1-己炔、1-hexyne、693-02-7.xml,693-02-7,1-己炔,3183
casNumber,1-己烯、1-hexene、592-41-6.xml,592-41-6,1-己烯,3184
casNumber,1-庚炔、1-heptyne、628-71-7.xml,628-71-7,1-庚炔,3180
casNumber,"1-异丙基-3-甲基吡唑-5-基N,N-二甲基氨基甲酸酯[含量＞20%]、1-isopropyl-3-methylpyrazol-5-yldimethylcarbamate (more than 20%)、119-38-0.xml",119-38-0,"1-异丙基-3-甲基吡唑-5-基N,N-二甲基氨基甲酸酯[含量＞20%]",3228
casNumber,1-戊炔、1-pentyne、627-19-0.xml,627-19-0,1-戊炔,3215
casNumber,1-戊烯-3-酮、1-Penten-3-one、1629-58-9.xml,1629-58-9,1-戊烯-3-酮,3217
casNumber,1-戊烯、1-pentene、109-67-1.xml,109-67-1,1-戊烯,3216
casNumber,1-戊硫醇、1-amyl mercaptan、110-66-7.xml,110-66-7,1-戊硫醇,3213
casNumber,1-戊醇、1-amyl alcohol、71-41-0.xml,71-41-0,1-戊醇,3212
casNumber,1-戊醛、Valeraldehyde、110-62-3.xml,110-62-3,1-戊醛,3214
casNumber,"1-氟-2,4-二硝基苯、1-fluoro-2,4-dinitrobenzene、70-34-8.xml",70-34-8,"1-氟-2,4-二硝基苯",3179
casNumber,1-氨基丙烷、1-aminopropane、107-10-8.xml,107-10-8,1-氨基丙烷,3167
casNumber,1-氨基乙醇、1-aminoethanol、75-39-8.xml,75-39-8,1-氨基乙醇,3169
casNumber,1-氨基蒽醌、1-Aminoanthraquinone、82-45-1.xml,82-45-1,1-氨基蒽醌,3168
casNumber,"1-氯-1,1-二氟乙烷、1,1-difluoro-1-chloroethane、75-68-3.xml",75-68-3,"1-氯-1,1-二氟乙烷",3192
casNumber,1-氯-1-硝基丙烷、1-Chloro-1-nitropropane、600-25-9.xml,600-25-9,1-氯-1-硝基丙烷,3193
casNumber,"1-氯-2,2,2-三氟乙烷、1-chloro-2,2,2-trifluoroethane、75-88-7.xml",75-88-7,"1-氯-2,2,2-三氟乙烷",3194
casNumber,"1-氯-2,3-环氧丙烷、1-chloro-2,3-epoxypropane、106-89-8.xml",106-89-8,"1-氯-2,3-环氧丙烷",3195
casNumber,"1-氯-2,4-二硝基苯、1-chloro-2,4-dinitrobenzene、97-00-7.xml",97-00-7,"1-氯-2,4-二硝基苯",3196
casNumber,1-氯-2-丁烯、1-Chloro-2-butene、591-97-9.xml,591-97-9,1-氯-2-丁烯,3198
casNumber,1-氯-2-丙醇、1-Chloro-2-propanol、127-00-4.xml,127-00-4,1-氯-2-丙醇,3197
casNumber,1-氯-2-溴丙烷、1-Chloro-2-bromopropane、3017-95-6.xml,3017-95-6,1-氯-2-溴丙烷,3199
casNumber,1-氯-2-溴乙烷、1-Chloro-2-bromoethane、107-04-0.xml,107-04-0,1-氯-2-溴乙烷,3200
